,censustract,state,county,urban,pop2010,ohu2010,groupquartersflag,numgqtrs,pctgqtrs,lilatracts_1and10,lilatracts_halfand10,lilatracts_1and20,lilatracts_vehicle,hunvflag,lowincometracts,povertyrate,medianfamilyincome,la1and10,lahalfand10,la1and20,latracts_half,latracts1,latracts10,latracts20,latractsvehicle_20,lapop1_10,lapop05_10,lapop1_20,lalowi1_10,lalowi05_10,lalowi1_20,lapophalf,lapophalfshare,lalowihalf,lalowihalfshare,lakidshalf,lakidshalfshare,laseniorshalf,laseniorshalfshare,lawhitehalf,lawhitehalfshare,lablackhalf,lablackhalfshare,laasianhalf,laasianhalfshare,lanhopihalf,lanhopihalfshare,laaianhalf,laaianhalfshare,laomultirhalf,laomultirhalfshare,lahisphalf,lahisphalfshare,lahunvhalf,lahunvhalfshare,lasnaphalf,lasnaphalfshare,lapop1,lapop1share,lalowi1,lalowi1share,lakids1,lakids1share,laseniors1,laseniors1share,lawhite1,lawhite1share,lablack1,lablack1share,laasian1,laasian1share,lanhopi1,lanhopi1share,laaian1,laaian1share,laomultir1,laomultir1share,lahisp1,lahisp1share,lahunv1,lahunv1share,lasnap1,lasnap1share,lapop10,lapop10share,lalowi10,lalowi10share,lakids10,lakids10share,laseniors10,laseniors10share,lawhite10,lawhite10share,lablack10,lablack10share,laasian10,laasian10share,lanhopi10,lanhopi10share,laaian10,laaian10share,laomultir10,laomultir10share,lahisp10,lahisp10share,lahunv10,lahunv10share,lasnap10,lasnap10share,lapop20,lapop20share,lalowi20,lalowi20share,lakids20,lakids20share,laseniors20,laseniors20share,lawhite20,lawhite20share,lablack20,lablack20share,laasian20,laasian20share,lanhopi20,lanhopi20share,laaian20,laaian20share,laomultir20,laomultir20share,lahisp20,lahisp20share,lahunv20,lahunv20share,lasnap20,lasnap20share,tractlowi,tractkids,tractseniors,tractwhite,tractblack,tractasian,tractnhopi,tractaian,tractomultir,tracthispanic,tracthunv,tractsnap
13869,11001000801,District of Columbia,District of Columbia,1,6709,3207,0,373.0,5.559695930839171,0,0,0,0,1,0,13.5175628433494,247426.0,0,1,0,1,0,0,0,1,8.64125080406666,3910.53967788816,8.64125080406666,0.495876108296216,713.059786575148,0.495876108296216,3910.53967788816,58.2879665805359,713.059786575148,10.6284064178737,666.524247020483,9.93477786585904,884.977968475898,13.1909072659994,3381.39343927614,50.4008561525733,145.717495635385,2.17197042234886,206.489291907987,3.0777953779696903,1.0,0.0149053510210165,3.36888328194618,0.0502143878662421,172.57063543424,2.57222589706722,330.688660713611,4.92903056660622,159.435888650842,4.971496372025,29.5907665589839,0.9226930638909848,8.64125080406666,0.128800876495255,0.495876108296216,0.0073912074570907,2.56962480023503,0.0383011596398127,2.85738034918904,0.0425902571052175,7.67166095972061,0.114348799518864,0.0053161717951297,7.9239406694437e-05,0.31610843539238,0.0047117071902277,0.0,0.0,0.0,0.0,0.648165386170149,0.0096611326005388,0.337373122572899,0.0050286648170055,0.0793739482760429,0.0024750217734968,0.0449904002307449,0.0014028812045757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1007.0,1018.0,1359.0,5719.0,316.0,374.0,1.0,5.0,294.0,572.0,210.0,42.0
13870,11001000802,District of Columbia,District of Columbia,1,2869,1336,0,0.0,0.0,0,0,0,0,0,0,10.3728623493131,208906.0,0,1,0,1,0,0,0,0,,2200.40748772549,,,387.169440854515,,2200.40748772549,76.6959737792084,387.169440854515,13.4949264849953,320.836679993023,11.1828748690492,213.351750448084,7.43644999819046,1831.176612271,63.8263022750434,75.6131680812687,2.6355234604834,180.374128870259,6.287003446157501,1.46221604943275,0.0509660526118074,2.77235889434814,0.0966315404094857,109.008992682866,3.79954662540488,165.404463821746,5.76523052707374,83.0711765052656,6.21790243302886,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,609.0,431.0,296.0,2390.0,107.0,232.0,2.0,4.0,134.0,231.0,114.0,0.0
13871,11001000901,District of Columbia,District of Columbia,1,7175,1558,0,3028.0,42.20209059233449,0,0,0,0,1,0,5.20712797963434,250001.0,1,1,1,1,1,0,0,1,3748.6080900061,7174.99997016071,3748.6080900061,256.33293827984,434.433414442349,256.33293827984,7174.99997016071,99.9999995841214,434.433414442349,6.05482110721043,1045.00000050546,14.564459937358402,891.999999233579,12.4320557384471,6135.00003944923,85.5052270306513,260.000002989628,3.6236934214582304,451.000001440523,6.2857143057912594,2.99999991059303,0.0418118454438053,15.9999999320135,0.222996514731895,309.999997930882,4.32055746245132,435.999995646396,6.07665499158741,158.436660027123,10.1692336346036,0.0,0.0,3748.6080900061,52.2454089199457,256.33293827984,3.5725845056423697,779.62043087812,10.8657899773954,665.736123950278,9.278552250178093,3310.32887505581,46.1369878056559,131.929647576146,1.83874073276859,177.667846980272,2.47620692655431,0.697476767003536,0.0097209305505719,4.3796998327598,0.0610411126517045,123.60454393672,1.7227114137522,202.126039308825,2.81708765587213,122.210273462805,7.844048360898929,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,294.0,1045.0,892.0,6135.0,260.0,451.0,3.0,16.0,310.0,436.0,158.0,0.0
13872,11001000902,District of Columbia,District of Columbia,1,2092,833,0,0.0,0.0,0,0,0,0,0,0,2.14508580343214,231066.0,1,1,1,1,1,0,0,0,828.367348123342,1994.05496453121,828.367348123342,25.291538584861,134.726518422249,25.291538584861,1994.05496453121,95.3181149393505,134.726518422249,6.44008214255491,520.071264682338,24.8600030918899,314.024790791329,15.0107452577117,1775.20774401352,84.8569667310477,65.1475199335255,3.11412619185112,74.2773656724021,3.55054329217983,1.00000005215406,0.0478011497205576,3.67731544002891,0.175779896750904,74.7450029025786,3.5728968882685703,102.740775935352,4.91112695675678,26.0282158880145,3.1246357608660897,0.0,0.0,828.367348123342,39.5969095661253,25.291538584861,1.20896455950578,238.498544571921,11.4005040426349,122.541488630231,5.85762373949481,746.711209546775,35.693652463995,18.8925040499307,0.903083367587511,24.4496328113601,1.16872049767496,0.0,0.0,2.96533173322678,0.1417462587584499,35.3486681352369,1.68970688982968,35.75489833951,1.70912515963241,12.757459969318,1.53150779943794,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,211.0,548.0,328.0,1861.0,67.0,77.0,1.0,4.0,82.0,107.0,26.0,0.0
13873,11001001001,District of Columbia,District of Columbia,1,7436,2727,0,558.0,7.50403442711135,0,0,0,0,0,0,4.74109389484836,237619.0,0,1,0,1,0,0,0,0,,1944.60181432217,,,97.2855488409987,,1944.60181432217,26.1511809349405,97.2855488409987,1.30830485262236,442.79084813036,5.9546913411829,271.226734228898,3.6474816329867896,1718.89152639359,23.115808585174697,66.5920129930601,0.895535408728618,88.6874681580812,1.1926770865799,0.940172198694199,0.0126435206924986,2.96445801854134,0.0398662993348754,66.5261744139716,0.8946500055671269,142.149102187948,1.91163397240382,12.775582563132,0.468484875802422,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,570.0,1518.0,991.0,6342.0,298.0,432.0,2.0,17.0,345.0,512.0,427.0,0.0
13874,11001001002,District of Columbia,District of Columbia,1,3442,2089,0,0.0,0.0,0,1,0,1,1,1,20.6592782040352,170625.0,0,1,0,1,0,0,0,1,,967.838562011719,,,740.305816650391,,967.838562011719,28.1184939573422,740.305816650391,21.5080132670073,20.050838470459,0.582534528485154,78.660982131958,2.28532777838344,747.279296875,21.7106129248983,57.0677700042725,1.65798285892715,127.245704650879,3.6968537086251896,0.0,0.0,1.54237216711044,0.0448103476789786,34.7033739089966,1.0082328271062302,76.3474216461182,2.21811219192673,210.844573974609,10.0930863558932,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1177.0,216.0,281.0,2788.0,185.0,311.0,0.0,7.0,151.0,271.0,441.0,0.0
13875,11001001100,District of Columbia,District of Columbia,1,4779,2118,0,94.0,1.966938690102532,0,0,0,0,0,0,4.55625990491284,215000.0,0,1,0,1,0,0,0,0,,691.482965830714,,,41.1136922085425,,691.482965830714,14.46919786212,41.1136922085425,0.8602990627441409,109.554384439252,2.29241231302055,120.58733287733,2.52327543162441,617.130358103663,12.913378491392798,21.9632612168789,0.45957859838625,35.8151974976063,0.749428698422395,0.984832286834717,0.0206074971089081,0.960469424724579,0.0200977071505457,14.628849864006,0.306106923289518,41.4211723953485,0.8667330486576389,60.573698063381,2.85994797277531,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,348.0,799.0,966.0,4012.0,290.0,273.0,6.0,9.0,189.0,306.0,437.0,0.0
13876,11001001200,District of Columbia,District of Columbia,1,5008,2516,0,20.0,0.3993610223642172,0,0,0,0,0,0,4.25004764627406,235313.0,0,0,0,0,0,0,0,0,,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,465.0,670.0,635.0,4073.0,272.0,388.0,3.0,18.0,254.0,399.0,553.0,74.0
13877,11001001301,District of Columbia,District of Columbia,1,3955,2030,0,103.0,2.604298356510746,0,0,0,0,0,0,4.42959663449641,193125.0,0,1,0,1,0,0,0,0,0.0,708.029812073335,0.0,0.0,48.740468014963,0.0,708.029812073335,17.902144426632997,48.740468014963,1.23237592958187,140.634534175508,3.55586685652358,187.786076394375,4.74806767115993,537.143979202956,13.5813901189117,95.3679623603821,2.41132648193128,31.76790001872,0.803233881636409,0.0,0.0,1.81381469592452,0.045861307103022,41.9361468171701,1.06033241004223,55.8775279182009,1.41283256430344,16.5860971531365,0.817049120844163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,310.0,478.0,573.0,3047.0,374.0,357.0,0.0,7.0,170.0,290.0,481.0,0.0
13878,11001001302,District of Columbia,District of Columbia,1,6857,4795,0,0.0,0.0,0,0,0,0,0,0,10.1928374655647,154560.0,0,0,0,0,0,0,0,0,,482.709181785584,,,67.7588385045528,,482.709181785584,7.0396555605306,67.7588385045528,0.98817031507296,21.9420441836119,0.3199948109029,57.8556207567453,0.8437453807313011,402.769232988358,5.873840352754231,18.440004568547,0.268922335839974,37.0604390650988,0.540475996282613,0.180446916259825,0.0026315723532131,1.0767621230334,0.0157031081089893,23.1822885721922,0.338082085054575,36.3512020036578,0.530132740318766,80.8930943608284,1.6870301222279098,9.72706141322851,0.2028584236335459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1117.0,268.0,960.0,5596.0,379.0,595.0,2.0,13.0,272.0,483.0,1210.0,136.0
13879,11001001401,District of Columbia,District of Columbia,1,3078,1415,0,4.0,0.1299545159194282,0,0,0,0,0,0,4.8196166854566,250001.0,0,1,0,1,0,0,0,0,,623.687046796083,,,54.5417780401185,,623.687046796083,20.262737062900698,54.5417780401185,1.77198759064713,180.352878399193,5.859417751760669,85.6993513815105,2.7842544308482897,556.58017359674,18.0825267575289,20.2242053765804,0.6570567048921491,25.4880279004574,0.8280710818862049,0.0,0.0,1.0,0.032488628979857,20.3946348363534,0.662593724377952,34.6440177636687,1.12553663949541,62.6881230976433,4.430256049303409,1.84092305283411,0.130100569104884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,257.0,659.0,446.0,2541.0,178.0,198.0,0.0,5.0,156.0,210.0,307.0,12.0
13880,11001001402,District of Columbia,District of Columbia,1,2998,1472,0,0.0,0.0,0,0,0,0,1,0,6.48584905660377,226948.0,0,1,0,1,0,0,0,1,6.42897716164589,2556.03149857465,6.42897716164589,0.325792767107487,295.901732079015,0.325792767107487,2556.03149857465,85.2578885448516,295.901732079015,9.86997105000051,488.225754183717,16.2850485051273,682.907156340661,22.7787577164997,1980.98658123892,66.07693733285251,327.428596848738,10.9215676066957,114.647654885659,3.82413792146961,0.0,0.0,3.96636053919792,0.132300218118677,129.002288790187,4.30294492295487,187.163097163429,6.242931860021,350.298943492933,23.7974825742482,118.06748462512,8.02088890116307,6.42897716164589,0.214442200188322,0.325792767107487,0.0108670035726313,1.60852571763098,0.0536532927828879,1.08687332645059,0.0362532797348428,3.58105127513409,0.1194480078430319,1.61365142837167,0.0538242637882478,0.356311122421175,0.0118849607211866,0.0,0.0,0.0,0.0,0.877963542938232,0.0292849747477728,0.710059389472008,0.0236844359396934,0.0,0.0,0.218943395186216,0.0148738719555853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,443.0,552.0,742.0,2334.0,356.0,160.0,0.0,5.0,143.0,232.0,473.0,144.0
13881,11001001500,District of Columbia,District of Columbia,1,5911,2081,0,293.0,4.956860091355101,0,0,0,0,0,0,2.75183455637091,235179.0,1,1,1,1,1,0,0,0,2431.07092262985,5305.04263344559,2431.07092262985,171.650664830293,326.906221439455,171.650664830293,5305.04263344559,89.7486488486819,326.906221439455,5.53047236405778,1343.93369852722,22.7361478350062,1189.11788009366,20.117034005983,4316.6721728295,73.02778164150729,630.032954807975,10.6586525936047,135.508691347379,2.2924833589473703,2.0,0.0338352224665877,7.00000016919512,0.118423281495434,213.828816686144,3.61747279117144,280.887609768138,4.75194738230652,29.0743626945899,1.39713419964392,0.0,0.0,2431.07092262985,41.1279127496168,171.650664830293,2.90391921553532,496.949620936226,8.40720048953182,774.283235803654,13.099022767783,1845.25863815872,31.2173682652464,425.50954017241,7.19860497669447,67.7715675658546,1.14653303275004,0.0,0.0,5.49315497651696,0.0929310603369474,87.0380290926823,1.47247553870212,129.106699632888,2.18417695200285,7.22321144957095,0.347102904832819,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,364.0,1540.0,1268.0,4877.0,643.0,145.0,2.0,7.0,237.0,304.0,31.0,0.0
13882,11001001600,District of Columbia,District of Columbia,1,3957,1620,0,32.0,0.8086934546373514,0,0,0,0,0,0,2.58120025812003,201667.0,0,1,0,1,0,0,0,0,6.43050861358643,1112.70367295347,6.43050861358643,0.277298122644424,38.8738288161621,0.277298122644424,1112.70367295347,28.119880539638,38.8738288161621,0.982406591260099,186.340443655517,4.70913428495116,292.463512988426,7.39104152106208,332.404709588604,8.40042227921667,726.081326818763,18.349288016648,18.0610579954227,0.456433105772624,0.0,0.0,1.01570840924978,0.0256686481993879,35.140865447931,0.888068371188552,47.3471494436799,1.19654155783876,5.33677923062965,0.329430816705534,9.46602470546054,0.584322512682749,6.43050861358643,0.162509694556139,0.277298122644424,0.0070077867739303,1.21154510974884,0.030617768757868,1.95711123943329,0.0494594702914654,1.95711123943329,0.0494594702914654,4.1938099861145,0.105984583930111,0.0,0.0,0.0,0.0,0.0,0.0,0.27958732843399,0.0070656388282534,0.27958732843399,0.0070656388282534,0.0446527861058712,0.00275634482135,0.0467806234955788,0.002887692808369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,193.0,718.0,931.0,997.0,2670.0,55.0,1.0,8.0,226.0,200.0,40.0,32.0
13883,11001001702,District of Columbia,District of Columbia,1,2644,1230,0,29.0,1.096822995461422,0,0,0,0,1,0,4.92298399275143,132750.0,0,1,0,1,0,0,0,1,,1153.31350305676,,,225.881767872721,,1153.31350305676,43.6200265906492,225.881767872721,8.54318335373377,180.647494044155,6.832356053107221,231.924569560215,8.77173107262537,355.166149232537,13.4329103340596,711.416597604752,26.9068304691661,11.8185505485162,0.446995103952958,0.0,0.0,1.46591302752495,0.0554430040667529,73.4462936148047,2.7778477161423902,80.4099712893367,3.04122433015646,102.49899790436,8.33325186214311,25.2397095095366,2.05200890321436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,472.0,371.0,371.0,1020.0,1342.0,79.0,1.0,6.0,196.0,212.0,241.0,74.0
